Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,MPI (4),0.117375,15266
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,CUDA,0.604641,15266
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,Sequential,0.351895,17149
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,MPI (4),0.102198,17149
density_pattern_len64_pattern.txt vs density_case_080_d1.10e-02_text.txt,CUDA,0.59892,17149
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,Sequential,0.351888,19264
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,MPI (4),0.103096,19264
density_pattern_len64_pattern.txt vs density_case_081_d1.23e-02_text.txt,CUDA,0.598013,19264
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,Sequential,0.351643,21639
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,MPI (4),0.102078,21639
density_pattern_len64_pattern.txt vs density_case_082_d1.38e-02_text.txt,CUDA,0.597809,21639
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,Sequential,0.351418,24308
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,MPI (4),0.10205,24308
density_pattern_len64_pattern.txt vs density_case_083_d1.56e-02_text.txt,CUDA,0.59807,24308
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,Sequential,0.351124,27306
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,MPI (4),0.102051,27306
density_pattern_len64_pattern.txt vs density_case_084_d1.75e-02_text.txt,CUDA,0.600283,27306
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,Sequential,0.349996,30673
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,MPI (4),0.102175,30673
density_pattern_len64_pattern.txt vs density_case_085_d1.96e-02_text.txt,CUDA,0.600727,30673
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,Sequential,0.350628,34456
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,MPI (4),0.102163,34456
density_pattern_len64_pattern.txt vs density_case_086_d2.21e-02_text.txt,CUDA,0.59914,34456
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,Sequential,0.349526,38705
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,MPI (4),0.103351,38705
density_pattern_len64_pattern.txt vs density_case_087_d2.48e-02_text.txt,CUDA,0.604089,38705
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,Sequential,0.350026,43478
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,MPI (4),0.10192,43478
density_pattern_len64_pattern.txt vs density_case_088_d2.78e-02_text.txt,CUDA,0.606374,43478
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,Sequential,0.349447,48840
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,MPI (4),0.102302,48840
density_pattern_len64_pattern.txt vs density_case_089_d3.13e-02_text.txt,CUDA,0.604236,48840
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,Sequential,0.34815,54863
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,MPI (4),0.102156,54863
density_pattern_len64_pattern.txt vs density_case_090_d3.51e-02_text.txt,CUDA,0.605572,54863
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,Sequential,0.347377,61629
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,MPI (4),0.102934,61629
density_pattern_len64_pattern.txt vs density_case_091_d3.94e-02_text.txt,CUDA,0.605413,61629
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,Sequential,0.34578,69229
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,MPI (4),0.10241,69229
density_pattern_len64_pattern.txt vs density_case_092_d4.43e-02_text.txt,CUDA,0.634266,69229
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,Sequential,0.345909,77766
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,MPI (4),0.102191,77766
density_pattern_len64_pattern.txt vs density_case_093_d4.98e-02_text.txt,CUDA,0.605805,77766
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,Sequential,0.344516,87357
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,MPI (4),0.102473,87357
density_pattern_len64_pattern.txt vs density_case_094_d5.59e-02_text.txt,CUDA,0.58466,87357
